user_id,recommended_items
61298,2705759 2018868 1861093 1641398 2759974
61873,882543 35677 2719617 2774733 440569
62808,2719617 771416 440569 1516336 841721
62908,186124 700812 1585842 2470865 2306574
62914,1662460 2468829 2419510 2171866 525107
63061,254048 1870464 57460 2792382 2716169
63163,2470865 712209 275929 255085 397974
63322,1016436 1382937 139004 1585842 2306574
63597,952102 238571 2192333 1952969 306724
63753,830073 35677 2719617 300053 2470865
63872,58071 483395 258349 2086053 196968
64303,275929 712209 255085 397974 1413540
64930,984114 139004 1413540 1952969 306724
65592,801479 1755502 2621946 570383 370820
66592,2006954 2584365 2287883 2815969 2236999
66908,129847 1003954 2148834 2667809 1081469
67173,882543 2090363 997790 2013935 437610
67354,2501356 2719617 1864789 1141074 1981831
67659,882543 440569 242012 895207 636467
67705,381044 2588490 1134495 709713 261126
67752,1053452 2778525 1244196 1386412 657183
67939,716019 904965 1602077 1154974 2560969
69088,1053452 2778525 1244196 1386412 657183
69418,139004 275929 712209 397974 255085
69428,2085188 83516 1525983 1361956 2332848
69757,882543 139004 2716452 712209 397974
70134,139004 2774733 712209 255085 397974
70534,1597526 1615362 1976901 2821965 2359880
70547,882543 1624781 2719617 139004 2044303
70649,988140 2044303 238571 1516336 306724
70855,1975912 1701454 108774 2556695 1828811
71226,882543 440569 2518350 33197 1262298
72027,882543 139004 2774733 1413540 306724
72461,2759350 1967629 1198429 979124 1717404
72570,882543 295304 2774733 2481527 1867503
73454,667505 1983757 2616802 2102097 290298
73471,2719617 771416 1516336 370820 841721
73525,1624781 952102 782713 2713312 1615362
74032,1053452 2778525 1244196 1386412 657183
74663,555502 2417933 1443774 406777 95803
75611,1671267 1819277 1704842 21333 302727
76103,1348771 1351870 2290143 1988360 2155612
76608,2719617 139004 771416 190606 1413540
76720,1755502 2621946 570383 2069813 440569
77440,771416 1078888 440569 33197 1262298
77641,1228746 2265362 731325 2158063 1419600
77738,882543 139004 771416 1413540 1516336
77942,526154 1857507 923245 386805 2679992
77992,2719617 1864789 771416 2256942 1516336
78016,606934 1088987 2406712 1845668 1865831
78100,2719617 771416 2752423 1078888 1516336
78298,1053452 2778525 1244196 1386412 657183
78784,882543 952102 2719617 139004 988140
79349,275929 712209 397974 255085 1413540
79426,1016436 1775761 1382937 660035 993437
79738,1218572 1071532 747193 275929 2778442
79802,882543 139004 988140 2592829 2713312
80026,882543 1624781 139004 2044303 2192333
80113,687732 1730803 1822566 1671118 2674913
80743,952102 984114 782713 2713312 306724
80933,882543 1129899 2244175 178401 850988
81213,1016436 1775761 746757 1782499 1382937
81342,882543 2719617 139004 771416 1516336
81375,1053452 2778525 1244196 1386412 657183
82204,139004 275929 712209 255085 397974
82500,1630793 1550605 1825202 2734053 2242730
82645,882543 2719617 139004 2752423 1321367
82778,2719617 771416 2752423 1516336 841721
82848,1053452 2778525 1244196 1386412 657183
82953,139004 2752423 2631964 479595 2828750
83200,2348573 2705759 1861093 102006 2821965
83840,882543 139004 2752423 2774733 397974
84028,139004 275929 397974 1413540 1516336
84579,468120 1671267 1819277 21333 1704842
84814,1053452 2778525 1244196 1386412 657183
84989,177825 771416 841721 306724 1447968
85006,1016436 2719617 1382937 2306574 2121552
85011,882543 2719617 139004 771416 1516336
85432,2719617 139004 1413540 1516336 306724
85921,1624781 952102 984114 988140 2592829
85958,2103306 740066 2191475 1625624 135655
85991,1088987 569568 2406712 1355739 1027027
86194,2719617 139004 771416 1516336 841721
86285,2024094 1321367 261735 1602405 1361778
86316,2752423 1321367 1521930 1596124 2444587
86856,882543 505157 1843411 2013935 2392150
87127,1053452 2778525 1244196 1386412 657183
87569,2348573 1189146 2253107 2489267 1271913
87622,1624781 952102 134624 238571 2592829
87629,1477734 1932410 1241609 2039641 2824370
88090,882543 801479 1755502 2719617 139004
88699,1519543 1835742 620865 51108 2315902
89595,1053452 2778525 1244196 1386412 657183
89700,2719617 139004 771416 1516336 841721
90134,2756654 1961546 712284 1124915 1934991
90275,2470865 859242 397974 1840914 2776360
90552,1246024 2631964 440569 479595 1725193
90609,882543 988140 782713 2713312 134624
90615,882543 1016436 1382937 1078888 2716452
90733,370820 2478900 2371408 2821965 2655876
91295,882543 2719617 139004 771416 1413540
92019,882543 139004 2774733 2713312 1413540
92182,1053452 2778525 1244196 1386412 657183
92343,1088987 2406712 1607107 144119 64039
93312,2108935 1154974 487795 1559886 2094628
93887,1088987 2406712 144119 64039 306724
93930,882543 1016436 139004 1382937 2774733
94336,2734492 493729 1300183 1796993 2738989
94417,595394 41913 1887979 2431477 2057312
94548,1053452 2778525 1244196 1386412 657183
94665,882543 139004 2774733 440569 1413540
94805,882543 139004 2716452 440569 1413540
94918,2264557 1833869 980778 2405211 567560
94945,882543 2719617 139004 2752423 2774733
95321,882543 2759350 139004 2774733 2828750
95619,1053452 2778525 1244196 1386412 657183
96109,882543 1016436 139004 1382937 26304
96164,1953846 1086695 870209 2739609 2771916
96187,882543 1078888 33197 1262298 484433
96756,963666 547164 126167 2637768 2693900
97135,771416 2207091 841721 306724 1325013
97204,2264926 2043929 1728147 2163175 143830
97375,139004 2470865 2306574 712209 397974
98005,2462072 2235444 2686521 137527 2572073
98174,1053452 2778525 1244196 1386412 657183
98287,882543 139004 2752423 1321367 2716452
98458,2719617 771416 479595 841721 306724
98716,795125 2148574 2768923 2326315 497114
99109,882543 139004 2774733 1413540 306724
99155,92053 1230659 1480251 1443014 2414157
99208,771416 2752423 1596124 841721 306724
99598,1053452 2778525 1244196 1386412 657183
99751,988140 782713 2592829 1952969 306724
99972,882543 952102 139004 988140 2592829
100399,712209 275929 255085 397974 440569
100521,882543 2450694 2310939 1450555 357345
100803,2705759 1189146 2253107 1861093 368471
101222,2719617 139004 771416 1516336 841721
101236,801479 1755502 570383 109031 2366932
101276,130230 1575243 660938 2348591 81952
101454,2719617 1206551 1637622 1971715 128644
101666,882543 139004 952014 967161 968392
101774,882543 2476293 139004 2774733 1966003
101857,1053452 2778525 1244196 1386412 657183
102002,1053452 2778525 1244196 1386412 657183
102545,186124 776006 934762 158510 1376433
102885,712209 275929 255085 397974 440569
103027,952102 984114 2044303 782713 2592829
103310,882543 139004 1749097 771416 440569
103669,882543 447985 1349839 1923330 1120107
104001,592559 392352 2158063 731325 2478900
104796,882543 139004 771416 1516336 841721
104965,2719617 139004 2470865 2306574 712209
106202,2673008 455510 2615784 92693 2588879
106391,1978534 255085 440569 370820 306724
107447,823512 274213 1922112 933017 1418050
107528,139004 2774733 1749097 771416 1531858
107952,1053452 2778525 1244196 1386412 657183
108109,139004 275929 712209 255085 397974
108891,952102 984114 988140 2044303 134624
108961,1053452 2778525 1244196 1386412 657183
109308,1830993 470079 736755 521352 2273864
109548,2719617 139004 771416 2752423 1516336
109646,2719617 771416 2752423 1516336 841721
109809,782713 2192333 1952969 306724 2371408
110004,882543 139004 2044303 2774733 455510
110221,1053452 2778525 1244196 1386412 657183
110636,1430243 555502 2031953 2634238 1982112
110951,139004 2774733 275929 712209 397974
111479,2774733 1854924 2771916 1916970 322220
111602,882543 1016436 2719617 139004 1382937
111836,1978534 2617471 1615362 1068933 1976901
113405,2637429 2755079 2804607 242449 2486236
113510,771416 1516336 841721 306724 704201
113784,882543 1978534 1615362 440569 1976901
113942,882543 984114 238571 1615362 1516336
114764,1983719 269512 744945 130230 311944
115337,2358688 2752423 2686805 1014523 1461999
115389,1053452 2778525 1244196 1386412 657183
115642,882543 2719617 771416 440569 1516336
115791,952102 2719617 988140 238571 306724
116228,1978534 370820 306724 1725193 2054114
116670,882543 1016436 1382937 139004 2752423
116847,2183288 494929 287676 391954 116585
116871,178239 594119 538944 306724 2659160
117095,2719617 771416 1516336 841721 2721098
117355,2719617 771416 2752423 1516336 841721
117952,636889 1385441 566081 2778442 2420756
118118,2759350 2719617 1749097 1967629 436974
118326,1619669 379806 1313364 750033 2147047
118441,1913692 1836572 467643 1777100 567823
118743,139004 2044303 782713 2713312 306724
119429,1088987 771416 2406712 144119 841721
119526,2330317 526800 1978835 2418946 2495215
119952,2719617 139004 771416 1516336 841721
120436,882543 771416 2716452 440569 1516336
120617,2719617 139004 771416 1516336 841721
121169,1316860 1238924 688689 130230 1575243
121312,1301316 139004 490987 1525983 1413540
121482,699187 1717754 716019 1437485 2521154
121594,1274336 2779959 516263 2767539 373383
121611,1228746 2300127 1615362 2158063 2030128
121662,788342 1439913 2456593 1732492 1529678
121757,240846 907363 962091 1423751 665666
122086,1053452 2778525 1244196 1386412 657183
122087,1218572 1071532 747193 1088987 2406712
122260,882543 1242418 1320279 104775 912679
122394,1053452 2778525 1244196 1386412 657183
122653,1803686 902396 670600 1748521 1907735
122688,1053452 2778525 1244196 1386412 657183
122826,557005 2244464 1004023 2751394 995871
122862,882543 997790 2284421 956110 2439554
123738,882543 1088987 2406712 1615362 144119
123936,139004 771416 1413540 1516336 841721
124188,1841463 2348229 1887309 2373792 2276118
124399,79531 306921 490987 296295 1046962
124663,2719617 139004 771416 548859 1516336
124833,1053452 2778525 1244196 1386412 657183
125035,2356407 1324393 1184328 683365 863312
125163,882543 952102 2719617 139004 782713
125183,882543 952102 139004 988140 1413540
125749,1016436 2716452 2158063 731325 1419600
125921,399596 1014523 1321367 1417079 1516336
126548,1434088 1823148 193627 1506186 1402854
126643,2719617 238571 2713312 1516336 306724
126771,1088987 2406712 144119 1516336 64039
127238,1053452 2778525 1244196 1386412 657183
127260,952102 984114 2044303 782713 134624
127289,1671267 1819277 1704842 21333 302727
127607,636889 1615362 2778442 2478900 1976901
128258,801479 1755502 2143484 570383 1213969
128444,139004 712209 275929 255085 397974
128892,2719617 1836572 479595 370820 306724
129287,742821 1088987 2406712 144119 731325
129582,882543 949723 1686458 70127 2304657
129765,1189146 2253107 1615362 440569 484216
130419,882543 1078888 2716452 429339 1672685
131287,882543 636889 2090363 1843411 1615362
131400,882543 139004 2752423 2716452 1413540
131843,882543 984114 988140 2044303 2192333
131876,1088987 2406712 771416 144119 64039
132162,712209 255085 440569 306724 1725193
132303,801479 1516336 1218780 370820 272736
132458,882543 1624781 139004 2044303 2774733
133042,698891 878413 2709027 478799 92454
133480,2289895 139004 2774733 1308032 1413540
134993,1053452 2778525 1244196 1386412 657183
135249,1735925 1088987 2406712 2067285 144119
135647,716019 2730930 1706918 2004444 440569
135701,1560443 1014523 2438615 190606 2161079
135905,882543 139004 2752423 1521930 440569
136018,882543 2719617 139004 2716452 440569
136346,1460626 1784135 2459980 859242 578161
136526,478799 605698 685512 1748626 332482
136595,2719617 1088987 2406712 1516336 370820
136741,1953846 1086695 870209 2739609 2771916
136883,1724738 2417933 2353095 988306 991288
137168,389334 2556695 1785127 1644009 2391924
137251,2182526 49606 2210940 23808 636467
137295,882543 139004 771416 1516336 1413540
137522,1016436 1382937 771416 1078888 440569
137940,2648928 887776 1596124 2444587 500417
138017,247719 1801603 2256370 2833963 2556695
138722,2760857 1749097 1968773 2452576 370828
138977,2719617 139004 771416 1749097 1413540
138982,2631964 1257913 306724 923364 1416739
139306,940481 2588441 178239 147992 2632099
139725,139004 771416 275929 255085 841721
139968,882543 2719617 139004 771416 440569
140225,1239082 2021532 109925 2121162 1635860
140830,368471 2518350 2150585 1456836 1435838
141431,1053452 2778525 1244196 1386412 657183
141434,2719617 2155146 1321367 2643193 2716452
141654,882543 1189146 2719617 2253107 2716452
141923,882543 139004 2752423 2774733 1321367
142537,1053452 2778525 1244196 1386412 657183
142751,1930991 84369 473820 2366932 2798665
142825,265522 18872 920520 2354859 1785216
142969,882543 2719617 139004 771416 1516336
143178,1053452 2778525 1244196 1386412 657183
143537,2698468 139004 1575737 311317 1413540
144144,782713 2592829 134624 306724 1568168
144191,1928254 2488684 117291 2448087 1655570
144636,1053452 2778525 1244196 1386412 657183
144643,636889 1836572 467643 1777100 453930
144750,1088987 2406712 144119 64039 443752
145381,275929 2171866 397974 2631964 440569
145533,1057404 292139 522016 1669272 2659160
145734,2719617 771416 712209 1516336 841721
145853,377107 2108935 487795 1559886 1154974
146193,1053452 2778525 1244196 1386412 657183
146199,1597482 1602405 1300830 1641723 1361778
146286,1053452 2778525 1244196 1386412 657183
147516,882543 2719617 139004 771416 2774733
147664,2759350 2719617 478799 1967629 436974
148342,2827170 2127477 2226682 1211919 1350893
148749,1014523 2686805 2306574 2631964 26304
148981,882543 2716452 440569 1516336 33197
149198,1053452 2778525 1244196 1386412 657183
149616,1053452 2778525 1244196 1386412 657183
150039,1155259 123732 2347945 2534752 2042983
150057,2719617 771416 1516336 841721 306724
150611,459760 257339 1203065 1574295 793921
150721,2313052 101005 2148267 434699 176021
150852,712209 275929 255085 397974 1683436
150854,882543 2759350 2719617 771416 1967629
150858,1978534 275929 712209 397974 255085
150949,801479 1755502 1213969 2071234 1461004
150980,35677 1194436 2759350 771416 841721
151024,1189146 2253107 243252 2478900 135147
151528,882543 2719617 139004 771416 1516336
151666,1053452 2778525 1244196 1386412 657183
151707,1778233 1725193 201772 2069896 306724
152067,882543 139004 2774733 1321367 190606
152831,139004 2470865 275929 712209 255085
153486,139004 2306574 238740 1413540 1725193
153970,139004 275929 397974 255085 1413540
154279,1624781 984114 139004 2713312 548859
154525,636889 2258544 1615362 2768923 1413540
154692,882543 2719617 139004 1516336 306724
155196,2721169 1088987 2406712 1355739 480007
155704,2437289 985008 2003763 798447 675534
155734,1053452 2778525 1244196 1386412 657183
155750,313851 2289895 1337011 867442 2353116
156207,882543 984114 139004 238571 2713312
156682,882543 139004 2752423 1413540 1725193
156731,1595372 381044 2588490 2727399 1978534
156890,2462072 65610 1573395 585442 2683403
157018,1088987 2406712 569568 1027027 144119
157347,2719617 139004 859242 1516336 1413540
157372,882543 420416 2284421 2439554 116191
157411,882543 2719617 1321367 2716452 440569
157436,139004 1516336 841721 306724 1940736
158275,1053452 2778525 1244196 1386412 657183
158445,1053452 2778525 1244196 1386412 657183
158466,830073 1241464 519268 701000 1145139
158759,882543 2719617 139004 771416 1413540
158786,882543 139004 771416 841721 306724
158919,1053452 2778525 1244196 1386412 657183
158944,1053452 2778525 1244196 1386412 657183
159617,882543 2719617 139004 1413540 1516336
159701,139004 2752423 275929 397974 306724
159921,882543 2719617 139004 2774733 1413540
160502,2759350 2719617 771416 2752423 841721
160533,967161 2423973 1724738 555502 1503882
160623,1864789 1141074 1384264 2279599 503772
161242,882543 1016436 139004 1382937 2716452
161521,1165605 882543 229304 2244175 1450555
161612,2752423 1321367 1521930 2444587 1596124
161662,1053452 2778525 1244196 1386412 657183
162063,1165605 882543 2244175 1615362 1976901
162457,882543 139004 1321367 1516336 1413540
162510,467212 2282652 190851 1347445 2283042
162529,2086265 925751 2184369 261467 2144494
162564,987162 2185485 1264432 630507 280155
162646,952102 988140 782713 134624 2192333
164126,1053452 2778525 1244196 1386412 657183
164502,1242418 2080276 2119782 1320279 81564
165095,2719617 771416 1516336 841721 306724
166047,899111 827852 1750400 1267146 1185847
166280,226371 73218 395616 2420756 1865850
166546,1704140 1292626 1878131 567823 992832
166998,771416 2763004 1516336 841721 306724
167169,139004 744945 1575243 311944 1413540
167292,636889 370820 306724 1720816 306427
167793,882543 2719617 139004 771416 1516336
167910,1189146 2253107 1289213 1659407 1472851
168003,592559 3236 569568 1321367 392352
168241,1321367 675129 2716452 1516336 2270687
168452,2719617 1516336 2556695 841721 306724
168573,2719617 771416 2146119 440569 1516336
168880,1053452 2778525 1244196 1386412 657183
168971,1053452 2778525 1244196 1386412 657183
169437,1624781 984114 988140 2044303 134624
169786,952102 2719617 988140 2774733 2146119
170008,139004 190606 2716452 275929 712209
170333,882543 1088987 2406712 144119 731325
170601,2309131 1337011 2353116 1514815 2703849
170611,984114 2044303 238571 2713312 306724
170666,882543 1016436 1382937 1492358 997790
171078,1053452 2778525 1244196 1386412 657183
171152,1978534 483871 688689 1725193 2744494
171375,984114 988140 2592829 306724 614476
171516,1218780 2071234 272736 2082622 1847967
172325,882543 952102 988140 2192333 134624
172413,139004 712209 275929 255085 397974
172636,801479 2621946 1213969 2071234 1461004
173125,882543 2719617 139004 771416 1413540
173245,1053452 2778525 1244196 1386412 657183
173555,275929 712209 255085 397974 2776360
174181,1796526 929053 469386 125464 2778442
174608,139004 275929 712209 255085 397974
174882,1053452 2778525 1244196 1386412 657183
175027,882543 2719617 139004 771416 440569
175162,1053452 2778525 1244196 1386412 657183
175344,1755502 2143484 2621946 2069813 109031
175369,1053452 2778525 1244196 1386412 657183
175546,1088987 2406712 1671267 144119 790148
175644,882543 139004 2774733 1413540 955477
175696,1644970 292139 522016 306724 636467
176268,1244196 1079971 83465 497730 2404405
176638,2669570 1407200 2257874 1728410 1516336
177089,546415 1835742 1749097 306724 996809
177373,2719617 1088987 2406712 2155146 771416
178074,2719617 139004 771416 859242 841721
178588,2721169 569568 1355739 1027027 1044973
178902,161269 459760 257339 1203065 894515
178946,1755502 2069813 1218780 306724 2402847
179637,1920047 2719617 1864789 2423973 1141074
179690,1854295 1623512 1888366 1217849 2238716
179744,1165605 882543 997790 1637622 104775
180411,1827898 1765833 295304 2606173 1562911
180693,2719617 771416 841721 1840914 717673
180988,1049937 1364949 1327819 2676477 1779599
181348,882543 139004 2774733 275929 397974
181413,882543 2719617 139004 2752423 2774733
181536,381044 780835 2588490 2632598 724014
181782,1319362 712209 275929 255085 397974
182123,882543 139004 771416 1413540 841721
182147,1194436 2759350 98202 1531858 306724
182605,139004 275929 712209 397974 255085
182959,1088987 2406712 2044303 2192333 144119
183367,461272 189845 1033253 419181 2331463
183704,1053452 2778525 1244196 1386412 657183
183959,882543 139004 771416 2752423 1516336
183987,882543 139004 859242 2828750 1413540
184048,1053452 2778525 1244196 1386412 657183
184787,1624781 984114 2044303 782713 2713312
185441,1867675 742821 1834588 541766 2348229
186401,636889 139004 1966003 1575737 1423037
186899,139004 275929 712209 255085 397974
186960,1053452 2778525 1244196 1386412 657183
187284,952102 984114 988140 782713 2192333
187935,2719617 139004 2470865 190606 275929
187991,636889 139004 190606 2226682 1382159
188190,1624781 988140 2044303 782713 2713312
188906,139004 841721 306724 2619962 1725193
189264,1410585 2236999 1441757 131076 622845
189295,1088987 2406712 238571 134624 144119
189309,882543 1986324 2716452 1615362 1187250
189335,1053452 2778525 1244196 1386412 657183
189401,882543 2090363 420416 997790 2284421
189421,788342 2721169 569568 1355739 1044973
189470,1162250 2228294 397742 158526 1486947
189719,139004 712209 255085 397974 1413540
190315,1053452 2778525 1244196 1386412 657183
191220,882543 139004 255085 2828750 1413540
191454,882543 2719617 139004 2774733 2146119
192447,882543 139004 1014523 2716452 440569
192510,882543 2719617 139004 771416 841721
192569,109031 1213969 1461004 306724 2082622
192830,882543 1016436 139004 1382937 440569
